iter	Passed	Remaining
950	542702	27962
951	543387	27397
952	544205	26839
953	544936	26275
954	545701	25713
955	546322	25144
956	546881	24572
957	547401	23998
958	547889	23423
959	548535	22855
960	549047	22281
961	549587	21709
962	550160	21138
963	550802	20569
964	551507	20002
965	551988	19428
966	552512	18855
967	553021	18281
968	553630	17711
969	554218	17140
970	554770	16568
971	555327	15997
972	556151	15432
973	556752	14861
974	557265	14288
975	557869	13718
976	558588	13149
977	559180	12578
978	559803	12008
979	560391	11436
980	560975	10864
981	561674	10295
982	562301	9724
983	562760	9150
984	563276	8577
985	563727	8004
986	564242	7431
987	564763	6859
988	565287	6287
989	565797	5715
990	566353	5143
991	566970	4572
992	567487	4000
993	568045	3428
994	568571	2857
995	569068	2285
996	569508	1713
997	569958	1142
998	570446	571
999	570927	0
